year,name,age,sex,genotype,value
2020,total_cancers,0,female,total,0
2020,total_cancers,15,female,total,6
2020,total_cancers,20,female,total,23
2020,total_cancers,25,female,total,193
2020,total_cancers,30,female,total,536
2020,total_cancers,35,female,total,859
2020,total_cancers,40,female,total,1139
2020,total_cancers,45,female,total,1256
2020,total_cancers,50,female,total,1290
2020,total_cancers,55,female,total,1122
2020,total_cancers,60,female,total,751
2020,total_cancers,65,female,total,419
2020,total_cancers,70,female,total,318
2020,total_cancers,75,female,total,206
2020,total_cancers,80,female,total,98
2020,total_cancers,85,female,total,52
